media,country,week,articles
en_USA_wapost,ARG,2014-07-07,2
en_NZL_nzhera,COG,2015-05-11,4
en_CAN_starca,PRK,2015-05-25,1
es_ESP_elpais,SOM,2015-03-23,2
en_CHN_chinad,JPN,2015-02-09,3
en_JPN_jatime,IRN,2014-09-29,1.8333333333
es_VEN_univer,ESP,2014-07-14,11.5
en_GBR_guardi,CHL,2015-04-20,7
en_GBR_guardi,NOR,2015-04-06,1
en_NZL_nzhera,AUS,2014-04-14,6
fr_BEL_lesoir,IND,2014-11-10,1
fr_FRA_lepari,NGA,2014-06-02,1
en_MYS_starmy,NPL,2014-11-24,1.5
fr_CAN_jmontr,USA,2014-10-06,6
en_USA_nytime,HKG,2014-07-14,4
en_GBR_guardi,CYP,2014-09-22,5
fr_FRA_lmonde,MLI,2014-02-10,1
es_MEX_univer,UKR,2014-11-10,10.3333333333
es_MEX_jormex,TUR,2014-10-20,0.5
es_VEN_univer,SUR,2015-05-25,2
en_GBR_dailyt,SLE,2014-11-10,1
en_CHN_mopost,SWE,2015-05-11,0.5
fr_DZA_xpress,YEM,2015-01-19,1
fr_BEL_lesoir,GBR,2014-07-07,1
en_GBR_guardi,PSE,2014-09-01,2.6666666667
es_BOL_larazo,DZA,2014-10-13,1
es_CHL_mercur,VAT,2014-12-01,4
en_CHN_mopost,UKR,2014-05-05,17.5833333333
en_NZL_nzhera,AND,2015-03-16,1
en_PAK_newint,RUS,2014-01-27,1.5
fr_FRA_lepari,IRQ,2015-05-11,1
es_MEX_univer,RUS,2015-05-18,2.5
fr_FRA_lmonde,VEN,2015-03-16,0.5
es_ESP_elpais,IND,2014-06-09,3.5
fr_BEL_lesoir,UKR,2014-07-07,2.8333333333
en_CHN_mopost,YEM,2015-01-05,1
es_CHL_mercur,LTU,2015-04-27,0.3333333333
en_GBR_dailyt,MHL,2015-06-22,0.5
fr_FRA_lmonde,ROU,2014-04-07,1
fr_FRA_lepari,RUS,2014-07-21,9
es_ESP_catalu,TCD,2015-05-25,1
es_MEX_univer,TUR,2014-09-01,4
en_GBR_dailyt,IRL,2014-07-21,1
en_CHN_mopost,RUS,2014-03-10,7.5
en_MLT_tmalta,CUB,2015-01-12,1.5
en_CHN_mopost,MEX,2014-02-24,1.5
es_MEX_univer,UKR,2014-09-22,9
fr_DZA_xpress,LBN,2015-06-22,1
en_NZL_nzhera,NIC,2015-02-02,2
en_SGP_twoday,ARG,2015-02-16,4.5
en_NZL_nzhera,MMR,2014-11-24,2
es_ARG_nacion,CHL,2015-05-11,10
en_NGA_thiday,GBR,2014-09-15,3.5
en_GBR_dailyt,ZAF,2015-06-08,3
en_USA_wapost,PSE,2015-05-25,7
es_BOL_larazo,CMR,2015-02-02,2
en_NZL_nzhera,ROU,2015-06-22,3
en_IND_hindti,MMR,2015-05-11,1
fr_CAN_jmontr,PRK,2014-09-29,1
en_GBR_guardi,ESP,2014-12-01,5
es_ESP_elpais,GRC,2015-06-01,15.6666666667
es_ARG_nacion,IND,2014-06-09,2
en_IND_hindti,PSE,2015-05-11,1
en_CHN_mopost,NZL,2015-05-04,1
fr_BEL_derheu,GBR,2014-06-09,0.5
es_ESP_elpais,SYR,2014-11-03,1
es_CHL_tercer,GBR,2014-11-10,2
en_CHN_chinad,JPN,2015-01-26,18
fr_FRA_lmonde,RUS,2014-03-17,46
en_GBR_dailyt,EGY,2014-05-12,1
fr_FRA_lepari,KWT,2015-01-26,0.5
en_SGP_twoday,QAT,2015-03-09,1
en_USA_wapost,POL,2014-12-08,1
es_ESP_elpais,LTU,2015-03-16,2
fr_BEL_lesoir,COD,2015-04-13,1
es_VEN_univer,MMR,2015-02-16,1
